citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
RESIDUAL EFFECT OF PIGEONPEA (CAJANUS-CAJAN) ON YIELD AND NITROGEN RESPONSE OF MAIZE	1903301	EXPERIMENTAL AGRICULTURE	RAO, JVDKK	yes	1983	WOS:000085426900004	
Pigeonpea: disease management.	3135323	The pigeonpea.	Reddy, M. V.	yes	1990	WOS:000085426900004	
EFFECT OF PRUNING INTENSITIES OF 3 WOODY LEGUMINOUS SPECIES GROWN IN ALLEY CROPPING WITH MAIZE AND COWPEA ON AN ALFISOL	2719186	AGROFORESTRY SYSTEMS	DUGUMA, B	yes	1988	WOS:000085426900004	
NONE	287510943	NONE	Anderson, J.M.	no	1993	WOS:000085426900004	
Biophysical interactions in tropical agroforestry systems	2351356	Agroforestry Systems	Rao, M. R.	yes	1998	WOS:000085426900004	
Nitrogen fixation by trees in relation to soil nitrogen economy	3134969	FERTILIZER RESEARCH	Dommergues, YR	yes	1995	WOS:000085426900004	
Effect of legumes on the yield of associated and subsequent maize in intercropping and rotation systems without nitrogen fertilizer.	3135172	East African Agricultural and Forestry Journal	Nadar, H. M.	yes	1984	WOS:000085426900004	
PRODUCTIVITY AND RISK-EVALUATION IN CONTRASTING INTERCROPPING SYSTEMS	3135281	FIELD CROPS RESEARCH	RAO, MR	yes	1990	WOS:000085426900004	
Improving maize (Zea mays) yields in semiarid highlands of Kenya: agroforestry or inorganic fertilizers?	3135144	FIELD CROPS RESEARCH	Mathuva, MN	yes	1998	WOS:000085426900004	
LEGUME CONTRIBUTION TO FERTILIZER ECONOMY IN LEGUME-CEREAL ROTATIONS	3135102	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	LAL, RB	yes	1978	WOS:000085426900004	
Nitrogen mineralization in density fractions of soil organic matter from maize and legume cropping systems	3134935	SOIL BIOLOGY & BIOCHEMISTRY	Barrios, E	yes	1996	WOS:000085426900004	
NONE	459879609	Pigeonpea: Package of practices	Dhar, V.	no	2002	WOS:000324654600003	
A new approach for facilitating farmers' access to bean seed.	291680338	LEISA Magazine	Rubyogo, J. C.	yes	2007	WOS:000324654600003	
Designing farmer-participatory varietal selection in legumes	459879700	NONE	Nigam, S. N.	no	2007	WOS:000324654600003	
The role of informal seed systems in disseminating modern varieties. The example of pigeonpea from a semi-arid area of Kenya	58276413	EXPERIMENTAL AGRICULTURE	Jones, RB	yes	2001	WOS:000324654600003	
NONE	459879756	Producer organization: A guide to developing collective rural enterprises	Penrrose-Buckley, C.	no	2007	WOS:000324654600003	
LOCAL SEED SYSTEMS AND THEIR IMPORTANCE FOR AN IMPROVED SEED SUPPLY IN DEVELOPING-COUNTRIES	4077140	EUPHYTICA	ALMEKINDERS, CJM	yes	1994	WOS:000324654600003	
Improving technology delivery mechanisms: lessons from bean seed systems research in eastern and central Africa.	30727960	Agriculture and Human Values	David, S.	yes	1999	WOS:000324654600003	
Understanding seed systems in seed security	423117734	Improving the effectiveness and sustainability of seed relief, Food and Agricultural Organization	Sperling, L.	no	2003	WOS:000324654600003	
Constraint analysis of low productivity of rainfed chickpea and pigeonpea in India, 2	459880091	Indian Journal of Pulses Research	Maruthi Shankar, G. R.	no	2004	WOS:000324654600003	
NONE	293601174	Seed production systems in pigeonpea	Saxena, KB	no	2006	WOS:000324654600003	
Can cultivars from participatory plant breeding improve seed provision to small-scale farmers?	73528937	EUPHYTICA	Almekinders, Conny J. M.	yes	2007	WOS:000324654600003	
Agriculture in the developing world: Connecting innovations in plant breeding research to down stream applications	441440353	Proceedings of the National Academy of Sciences	Pelmer, D. P.	no	2005	WOS:000324654600003	
Sustainable improvement in pulses productivity in Hamirpur district of Uttar Pradesh: an approach of farmer participatory varietal evaluation.	329405707	Indian Research Journal of Extension Education	Singh, S. K.	yes	2008	WOS:000324654600003	
Village seed banks: An integrated seed system for improved seed production and supplyA case study	459879849	NONE	Ravinder Reddy, Ch	no	2010	WOS:000324654600003	
Farmer participatory crop improvement .1. Varietal selection and breeding methods and their impact on biodiversity	856415	EXPERIMENTAL AGRICULTURE	Witcombe, JR	yes	1996	WOS:000324654600003	
Farmer participatory crop improvement .2. Participatory varietal selection, a case study in India	4077604	EXPERIMENTAL AGRICULTURE	Joshi, A	yes	1996	WOS:000324654600003	
Seed systems for reaching a broad range of users quickly and efficiently	459879968	NONE	Rubyogo, J. C.	no	2004	WOS:000324654600003	
NONE	459879820	Chickpea and Pigeonpea Economies in Asia: Facts, Trends and Outlook	Rao, P.	no	2010	WOS:000324654600003	
Role of pulses in crop diversification in India	459879503	Role of legumes in crop diversification and poverty reduction in Asia	Ali, M.	no	2003	WOS:000324654600003	
Physico-chemical traits of Cajanus cajan (L.) Millsp pod wall affecting Melanagromyza obtusa (Malloch) damage	89708914	EUPHYTICA	Moudgal, R. K.	yes	2008	WOS:000297491600013	
NONE	426111034	INDIAN J ENTOMOL	DAS SB	no	1987	WOS:000297491600013	
NONE	426111069	INT CHICKPEA PIGEONP	SRIVASTAVA CP	no	1994	WOS:000297491600013	
NONE	426111025	MEDIUM TERM PLAN	NONE	no	1992	WOS:000297491600013	
STUDIES ON PLANT CUTICLE I. THE WAXY COVERINGS OF LEAVES	98521165	ANNALS OF APPLIED BIOLOGY	Martin, J. T.	yes	1958	WOS:000297491600013	
Morphological and chemical components of resistance to pod borer, Helicoverpa armigera in wild relatives of pigeonpea	262161053	ARTHROPOD-PLANT INTERACTIONS	Sharma, H. C.	yes	2009	WOS:000297491600013	
Morphological and biochemical factors associated with resistance to Maruca vitrata (Lepidoptera : Pyralidae) in short-duration pigeonpea	94395440	International Journal of Tropical Insect Science	Sunitha, V.	yes	2008	WOS:000297491600013	
AN IMPROVED COLORIMETRIC DETERMINATION OF AMINO ACIDS WITH USE OF NINHYDRIN	2063689	ANALYTICAL BIOCHEMISTRY	LEE, YP	yes	1966	WOS:000297491600013	
NONE	426111045	PLANT ENZYMOLOGY HIS	MALLIK CP	no	1980	WOS:000297491600013	
EFFECT OF IRRIGATION ON YIELD AND WATER-USE OF INDIAN MUSTARD (BRASSICA-JUNCEA), ROCKET SALAD (ERUCA-SATIVA), SAFFLOWER (CARTHAMUS-TINCTORIUS) AND PIGEONPEA (CAJANUS-CAJAN)	18402514	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	SINGH, R	yes	1992	WOS:000168678400004	
NONE	360155747	ANN REP 1986	*ICRISAT	no	1987	WOS:000168678400004	
Phosphorus.	2287558	Methods of soil analysis. Part 2. Chemical and microbiological properties	Olsen, S. R.	yes	1982	WOS:000168678400004	
Nitrogen-inorganic forms	701693	Methods of soil analysis. Part 2	Keeney, D.R.	no	1982	WOS:000168678400004	
PHENOLOGY, SEED YIELD AND WATER-USE OF GRAIN LEGUMES GROWN UNDER DIFFERENT SOIL-WATER REGIMES IN A SEMI-ARID TROPICAL ENVIRONMENT	5548816	FIELD CROPS RESEARCH	MUCHOW, RC	yes	1985	WOS:000168678400004	
Soil pH and lime requirement	533164	Chemical and microbiological methods	McLean, EO	no	1982	WOS:000168678400004	
Pigeonpea: cropping systems.	16235573	The pigeonpea.	Ali, M.	yes	1990	WOS:000168678400004	
Red Gram	18402490	Pulse crops of Indian Council of Agricultural Research	Pathak, G. N	no	1970	WOS:000168678400004	
NONE	319960229	744 CSIRO	KEIG G	no	1974	WOS:000168678400004	
NONE	18402550	P 1 E SO AFR REG LEG	SINGH L	no	1991	WOS:000168678400004	
Cajanus cajan (L.) Millsp. 	18402438	Indian Journal of Agricultural Science	MUKHERJEE, D.	yes	1960	WOS:000168678400004	
NONE	398270534	REF MAN REL 3	*GENST 5	no	1993	WOS:000168678400004	
NONE	18402392	MADRAS AGR J	MOHAN JC	no	1969	WOS:000168678400004	
Development of high yielding varieties of pulses: perspective, possibilities and experimental approaches	18402344	NONE	Jain, HK	no	1975	WOS:000168678400004	
