citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
GRAIN-YIELD, HARVEST INDEX, AND WATER-USE OF WHEAT	5360282	JOURNAL OF THE AUSTRALIAN INSTITUTE OF AGRICULTURAL SCIENCE	PASSIOURA, JB	yes	1977	WOS:000168678400004	
THE NATURAL-HISTORY OF CROP YIELD	18402324	AMERICAN SCIENTIST	EVANS, LT	yes	1980	WOS:000168678400004	
NONE	18402502	INT PIGEONPEA NEWSLE	SAXENA KB	no	1985	WOS:000168678400004	
NONE	338871576	THESIS CSJM U KANPUR	MISHRA S	no	2004	WOS:000297491600011	
Evaluation of pigeonpea (Cajanus cajan) germplasm for resistance to Fusarium wilt	87844330	Indian J. Agri. Sci.	Okiror, M. A.	no	2002	WOS:000297491600011	
NONE	426111011	SCIENCES	AHLAWAT IPS	no	2005	WOS:000297491600011	
Impact of a new source of resistance to fusarium wilt in pigeonpea	64162298	JOURNAL OF PHYTOPATHOLOGY	Gwata, ET	yes	2006	WOS:000297491600011	
Pigeon pea lines resistant to wilt in Kenya and Malawi	59778025	Int. Pigeon pea Newsl	Reddy, M. V.	no	1990	WOS:000297491600011	
NONE	426111051	LEGUME RES	PRASANTHI L	no	2009	WOS:000297491600011	
NONE	338871610	FOOD SCI J	MISHRA S	no	2003	WOS:000297491600011	
tarai regions of Uttaranchal. 	344731374	Indian Journal of Pulses Research	Singh, V. K.	yes	2002	WOS:000207874000018	
NONE	413408280	INT PIGEONPEA NEWSLE	TRIPATHI HP	no	1986	WOS:000207874000018	
NONE	413408243	AICRP PIGEONPEA ANN	REDDY MM	no	2006	WOS:000207874000018	
NONE	413408222	AICRP PIGEONPEA ANN	MAJUMDAR ND	no	2006	WOS:000207874000018	
RESPONSE OF PIGEONPEA (CAJANUS-CAJAN) TO ROW SPACING, NITROGEN AND PHOSPHORUS	111086621	INDIAN JOURNAL OF AGRONOMY	SARVAIYA, BG	yes	1993	WOS:000207874000018	
Note on phosphorus and cultivar enhancement of biological nitrogen fixation and productivity of maize/bean intercrops in Malawi	29197210	FIELD CROPS RESEARCH	Snapp, S	yes	1998	WOS:000178551000017	
Applying farmer participatory research methods to planning agricultural research: experiences from eastern Africa.	2351398	Journal for Farming Systems Research-Extension	Fischler, M.	yes	1996	WOS:000178551000017	
Soil nutrient status of smallholder farms in Malawi	27334676	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	Snapp, SS	yes	1998	WOS:000178551000017	
NONE	392890466	29 CORN FOOD NUTR PO	SAHN DE	no	1992	WOS:000178551000017	
RETHINKING THE FARMERS ROLE IN PLANT-BREEDING - LOCAL BEAN EXPERTS AND ON-STATION SELECTION IN RWANDA	2904998	EXPERIMENTAL AGRICULTURE	SPERLING, L	yes	1993	WOS:000178551000017	
Bean improvement for low soil fertility in Africa	29197501	Afr. Crop Sci. J.	Wortmann, C.S.	no	1995	WOS:000178551000017	
PHOSPHORUS UPTAKE BY PIGEON PEA AND ITS ROLE IN CROPPING SYSTEMS OF THE INDIAN SUBCONTINENT	4058547	SCIENCE	AE, N	yes	1990	WOS:000178551000017	
AGRICULTURAL-RESEARCH FOR RESOURCE-POOR FARMERS - THE FARMER-1ST-AND-LAST MODEL	8681425	AGRICULTURAL ADMINISTRATION	CHAMBERS, R	yes	1985	WOS:000178551000017	
NONE	429379710	MAL PART LIV ASS EX	*CARE INT	no	1998	WOS:000178551000017	
Mother and baby trials: a novel trial design being tried out in Malawi	17501226	Target Newsletter of the Southern Africa Soil Fertility Network	Snapp, S. S	no	1999	WOS:000178551000017	
Factors affecting compensation in intercropping when one component fails	29197450	TROPICAL AGRICULTURE	Willey, RW	yes	1997	WOS:000178551000017	
NONE	29197174	PHOSPHORUS PLANT BIO	SNAPP SS	no	1998	WOS:000178551000017	
PARTICIPATIVE FARMER TESTING OF 4 LOW EXTERNAL INPUT TECHNOLOGIES, TO ADDRESS SOIL FERTILITY DECLINE IN MONO PROVINCE (BENIN)	2351882	AGRICULTURAL SYSTEMS	VERSTEEG, MN	yes	1993	WOS:000178551000017	
UNPACKING A TECHNICAL PACKAGE - FLEXIBLE MESSAGES FOR DYNAMIC SITUATIONS	28830639	EXPERIMENTAL AGRICULTURE	OKALI, C	yes	1994	WOS:000178551000017	
Quantifying rice farmers' pest management decisions: beliefs and subjective norms in stem borer control	15585138	CROP PROTECTION	Heong, KL	yes	1999	WOS:000178551000017	
NONE	27747844	AGR ECOSYST ENVIRON	SNAPP SS	no	1998	WOS:000178551000017	
NONE	29197048	GENDER TECHN DEV	KOLLI DR	no	1997	WOS:000178551000017	
Participatory action research and quantitative analysis for nutrient management in southern Mali. a fruitful marriage?	16265850	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	Defoer, T	yes	1998	WOS:000178551000017	
Rehabilitation of degraded grasslands in north Syria: Use of farmer participatory research to encourage the sowing of annual pasture legumes	28830028	EXPERIMENTAL AGRICULTURE	Ghassali, F	yes	1999	WOS:000178551000017	
Farmer acceptability criteria in breeding cowpea	28319330	EXPERIMENTAL AGRICULTURE	Kitch, LW	yes	1998	WOS:000178551000017	
Nitrogen balance and root behavior in four pigeonpea-based intercropping systems	29197041	FERTILIZER RESEARCH	Katayama, K	yes	1995	WOS:000178551000017	
NONE	320649874	6 ICRISAT	AHMED MM	no	1997	WOS:000178551000017	
NONE	403692434	IMPR PIG E SO AFR	*ICRISAT	no	1998	WOS:000178551000017	
NONE	294206810	MANAGING AFRICAS SOI	KANYAMAPHIRI GY	no	2000	WOS:000178551000017	
GENDERED SCIENCE - A CRITIQUE OF AGRICULTURAL-DEVELOPMENT	20030278	AMERICAN ANTHROPOLOGIST	FERGUSON, AE	yes	1994	WOS:000178551000017	
Do farmer-participatory methods apply more to high potential areas than to marginal ones?	15575696	OUTLOOK ON AGRICULTURE	Witcombe, JR	yes	1999	WOS:000178551000017	
NONE	403656783	12 ICRISAT AFR DEV B	*AFR DEV BANK	no	1999	WOS:000178551000017	
NONE	29197423	P 4 REG GROUNDN WORK	SYAMASONTA MB	no	1990	WOS:000178551000017	
NONE	338871480	NETW PROJ WILT CROPS	*IIPR	no	2008	WOS:000283279200012	
NONE	338871576	THESIS CSJM U KANPUR	MISHRA S	no	2004	WOS:000283279200012	
INFLUENCE OF WILT AT DIFFERENT GROWTH-STAGES ON YIELD LOSS IN PIGEONPEA	45568168	TROPICAL PEST MANAGEMENT	KANNAIYAN, J	yes	1981	WOS:000283279200012	
NONE	338871496	PARIN STORM M PULS P	DHAR V	no	1999	WOS:000283279200012	
NONE	338871610	FOOD SCI J	MISHRA S	no	2003	WOS:000283279200012	
NONE	338871656	NONE	Reddy, MV	no	1996	WOS:000283279200012	
NONE	338871465	ANN GROUP M AICRP PI	*AICRP	no	2009	WOS:000283279200012	
Cryptic genetic variation is enriched for potential adaptations	65436032	GENETICS	Masel, J	yes	2006	WOS:000344010400020	
Survival costs of reproduction in Drosophila	351369025	EXPERIMENTAL GERONTOLOGY	Flatt, Thomas	yes	2011	WOS:000344010400020	
INCREASED GENETIC VARIANCE AFTER A POPULATION BOTTLENECK	2036924	TRENDS IN ECOLOGY & EVOLUTION	CARSON, HL	yes	1990	WOS:000344010400020	
The Evolution of Fruit Tree Productivity: A Review	448942657	ECONOMIC BOTANY	Goldschmidt, Eliezer E.	yes	2013	WOS:000344010400020	
Photosynthetic Responses in Annual Rye, Perennial Wheat, and Perennial Rye Subjected to Modest Source: Sink Ratio Changes	464233440	CROP SCIENCE	Jaikumar, Nikhil S.	yes	2014	WOS:000344010400020	
Genome dynamics during experimental evolution	461240920	NATURE REVIEWS GENETICS	Barrick, Jeffrey E.	yes	2013	WOS:000344010400020	
Tracking footprints of maize domestication and evidence for a massive selective sweep on chromosome 10	256089478	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Tian, Feng	yes	2009	WOS:000344010400020	
Robustness: mechanisms and consequences	274078951	TRENDS IN GENETICS	Masel, Joanna	yes	2009	WOS:000344010400020	
NONE	474161994	EVOL EDUC OUTREACH	PAVLICEV M	no	2012	WOS:000344010400020	
Genotype-by-environment interaction and plasticity: exploring genomic responses of plants to the abiotic environment.	465050125	Annual Review of Ecology, Evolution, and Systematics	Marais, D. L. des	yes	2013	WOS:000344010400020	
Plant clonality, mutation, diplontic selection and mutational meltdown	41538185	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	Klekowski, EJ	yes	2003	WOS:000344010400020	
Population subdivision with migration can facilitate evolution on rugged fi tness landscapes	478376526	arXiv:1308.0278v2v2 [q-bio. PE]	BITBOL, A.	no	2013	WOS:000344010400020	
DESTABILIZING SELECTION AS A FACTOR IN DOMESTICATION	2625841	JOURNAL OF HEREDITY	BELYAEV, DK	yes	1979	WOS:000344010400020	
Epistasis and the release of genetic variation during long-term selection	65348651	NATURE GENETICS	Carlborg, O	yes	2006	WOS:000344010400020	
BEGINNINGS OF FRUIT GROWING IN OLD WORLD	228786	SCIENCE	ZOHARY, D	yes	1975	WOS:000344010400020	
Adaptive inertia caused by hidden pleiotropic effects	652264	THEORETICAL POPULATION BIOLOGY	Baatz, M	yes	1997	WOS:000344010400020	
Robustness and evolvability: a paradox resolved	83304183	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Wagner, Andreas	yes	2008	WOS:000344010400020	
Rapid Speciation with Gene Flow Following the Formation of Mt. Etna	458322752	GENOME BIOLOGY AND EVOLUTION	Osborne, Owen G.	yes	2013	WOS:000344010400020	
Evaluation of experimental designs and spatial analyses in wheat breeding trials	2601256	THEORETICAL AND APPLIED GENETICS	Qiao, CG	yes	2000	WOS:000344010400020	
Growth, yield and seed composition of native Australian legumes with potential as grain crops	430213061	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	Bell, Lindsay W.	yes	2012	WOS:000344010400020	
Principles underlying genetic improvement for high and stable crop yield potential	31390713	FIELD CROPS RESEARCH	Fasoula, VA	yes	2002	WOS:000344010400020	
PERENNIAL GRAIN DEVELOPMENT - PAST EFFORTS AND POTENTIAL FOR THE FUTURE	17561109	CRITICAL REVIEWS IN PLANT SCIENCES	WAGONER, P	yes	1990	WOS:000344010400020	
Historical changes in harvest index and crop nitrogen accumulation	3414533	CROP SCIENCE	Sinclair, TR	yes	1998	WOS:000344010400020	
Heritable genome-wide variation of gene expression and promoter methylation between wild and domesticated chickens	429299449	BMC GENOMICS	Natt, Daniel	yes	2012	WOS:000344010400020	
Breeding and Cereal Yield Progress	291790411	CROP SCIENCE	Fischer, R. A. (Tony)	yes	2010	WOS:000344010400020	
PHENOTYPIC PLASTICITY AND EPIGENETIC MARKING: AN ASSESSMENT OF EVIDENCE FOR GENETIC ACCOMMODATION	468254348	EVOLUTION	Schlichting, Carl D.	yes	2014	WOS:000344010400020	
Next-generation sequencing for understanding and accelerating crop domestication	428595865	BRIEFINGS IN FUNCTIONAL GENOMICS	Henry, Robert J.	yes	2012	WOS:000344010400020	
NONE	478376419	CEEDS<SUP>TM</SUP>: The easy way to establish energy crops	NONE	no	2014	WOS:000344010400020	
From Many, One: Genetic Control of Prolificacy during Maize Domestication	457910556	PLOS GENETICS	Wills, David M.	yes	2013	WOS:000344010400020	
Perspective: Purging the genetic load: A review of the experimental evidence	629983	EVOLUTION	Crnokrak, P	yes	2002	WOS:000344010400020	
GENETICS AND MORPHOLOGICAL EVOLUTION IN PLANTS	7548387	AMERICAN NATURALIST	GOTTLIEB, LD	yes	1984	WOS:000344010400020	
Heterogeneous Adaptive Trajectories of Small Populations on Complex Fitness Landscapes	260422406	PLOS ONE	Rozen, Daniel E.	yes	2008	WOS:000344010400020	
DNA methylation polymorphism in annual wild soybean (Glycine soja Sieb. et Zucc.) and cultivated soybean (G. max L. Merr.)	275277993	CANADIAN JOURNAL OF PLANT SCIENCE	Zhong, Xiaofang	yes	2009	WOS:000344010400020	
PHENOTYPIC AND GENOTYPIC CONVERGENCES ARE INFLUENCED BY HISTORICAL CONTINGENCY AND ENVIRONMENT IN YEAST	468254336	EVOLUTION	Spor, Ayme	yes	2014	WOS:000344010400020	
MEASURED DOMESTICATION RATES IN WILD WHEATS AND BARLEY UNDER PRIMITIVE CULTIVATION, AND THEIR ARCHAEOLOGICAL IMPLICATIONS	19006965	JOURNAL OF WORLD PREHISTORY	HILLMAN, GC	yes	1990	WOS:000344010400020	
Transgenerational defense induction and epigenetic inheritance in plants	438685380	TRENDS IN ECOLOGY & EVOLUTION	Holeski, Liza M.	yes	2012	WOS:000344010400020	
Evolutionary potential of hidden genetic variation	84485722	TRENDS IN ECOLOGY & EVOLUTION	Le Rouzic, Arnaud	yes	2008	WOS:000344010400020	
Aging in a Long-Lived Clonal Tree	337030548	PLOS BIOLOGY	Ally, Dilara	yes	2010	WOS:000344010400020	
Non-coding RNAs in homeostasis, disease and stress responses: an evolutionary perspective	451718815	BRIEFINGS IN FUNCTIONAL GENOMICS	Amaral, Paulo P.	yes	2013	WOS:000344010400020	
A Genetic Framework for Grain Size and Shape Variation in Wheat	317049710	PLANT CELL	Gegas, Vasilis C.	yes	2010	WOS:000344010400020	
Adaptive dynamics under development-based genotype-phenotype maps	451183910	NATURE	Salazar-Ciudad, Isaac	yes	2013	WOS:000344010400020	
Loss of gametophytic self-incompatibility with evolution of inbreeding depression	54337791	EVOLUTION	Porcher, E	yes	2005	WOS:000344010400020	
The evolution of self-fertilization in perennials	630564	AMERICAN NATURALIST	Morgan, MT	yes	1997	WOS:000344010400020	
Allelic variation and heterosis in maize: How do two halves make more than a whole?	76918100	GENOME RESEARCH	Springer, Nathan M.	yes	2007	WOS:000344010400020	
Genetic perspectives on crop domestication	338317944	TRENDS IN PLANT SCIENCE	Gross, Briana L.	yes	2010	WOS:000344010400020	
Genomics and the origin of species	467086738	NATURE REVIEWS GENETICS	Seehausen, Ole	yes	2014	WOS:000344010400020	
Evolution of phenotypic plasticity: where are we going now?	58730697	TRENDS IN ECOLOGY & EVOLUTION	Pigliucci, M	yes	2005	WOS:000344010400020	
Crop domestication and the first plant breeders.	292043612	Plant breeding and farmer participation	Cox, S.	yes	2009	WOS:000344010400020	
PLASTICITY OF REPRODUCTIVE COMPONENTS AT DIFFERENT STAGES OF DEVELOPMENT IN THE ANNUAL PLANT THLASPI-ARVENSE L	12793367	OECOLOGIA	MATTHIES, D	yes	1990	WOS:000344010400020	
Progress in breeding perennial grains	321831824	CROP & PASTURE SCIENCE	Cox, T. S.	yes	2010	WOS:000344010400020	
Comparative methylomics between domesticated and wild silkworms implies possible epigenetic influences on silkworm domestication	461169828	BMC GENOMICS	Xiang, Hui	yes	2013	WOS:000344010400020	
Sex reduces genetic variation: a multidisciplinary review.	351433545	Evolution; international journal of organic evolution	Gorelick, Root	yes	2011	WOS:000344010400020	
Single-base resolution maps of cultivated and wild rice methylomes and regulatory roles of DNA methylation in plant gene expression	437603720	BMC GENOMICS	Li, Xin	yes	2012	WOS:000344010400020	
The loci of evolution: How predictable is genetic evolution ?	91712988	EVOLUTION	Stern, David L.	yes	2008	WOS:000344010400020	
Divergence with Gene Flow: Models and Data	410913491	ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 41	Pinho, Catarina	yes	2010	WOS:000344010400020	
Phenotypic plasticity can facilitate adaptive evolution in gene regulatory circuits	409698515	BMC EVOLUTIONARY BIOLOGY	Espinosa-Soto, Carlos	yes	2011	WOS:000344010400020	
Transgressive segregation, adaptation and speciation	10952969	HEREDITY	Rieseberg, LH	yes	1999	WOS:000344010400020	
Genetic composition of yield heterosis in an elite rice hybrid	437984313	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Zhou, Gang	yes	2012	WOS:000344010400020	
Accelerating the domestication of forest trees in a changing world	428241983	TRENDS IN PLANT SCIENCE	Harfouche, Antoine	yes	2012	WOS:000344010400020	
LIFE HISTORY AND RESOURCE ACQUISITION: PHOTOSYNTHETIC TRAITS IN SELECTED ACCESSIONS OF THREE PERENNIAL CEREAL SPECIES COMPARED WITH ANNUAL WHEAT AND RYE	462869311	AMERICAN JOURNAL OF BOTANY	Jaikumar, Nikhil S.	yes	2013	WOS:000344010400020	
CAUSES AND CONSEQUENCES OF NON-NORMALITY IN PREDICTING PROPERTIES OF RECOMBINANT INBRED LINES	20485114	HEREDITY	POONI, HS	yes	1977	WOS:000344010400020	
On the domestication genetics of self-fertilizing plants	261702319	VEGETATION HISTORY AND ARCHAEOBOTANY	Honne, Bjorn Ivar	yes	2009	WOS:000344010400020	
Invasive California poppies (Eschscholzia californica Cham.) grow larger than native individuals under reduced competition	35880603	ECOLOGY LETTERS	Leger, EA	yes	2003	WOS:000344010400020	
Introduced plants of the invasive Solidago gigantea (Asteraceae) are larger and grow denser than conspecifics in the native range	48353414	DIVERSITY AND DISTRIBUTIONS	Jakobs, G	yes	2004	WOS:000344010400020	
Rapid evolution of an invasive plant	46351179	ECOLOGICAL MONOGRAPHS	Maron, JL	yes	2004	WOS:000344010400020	
Correlated evolution of self-incompatibility and clonal reproduction in Solanum (Solanaceae)	73161192	NEW PHYTOLOGIST	Vallejo-Marin, Mario	yes	2007	WOS:000344010400020	
Diminishing returns and tradeoffs constrain the laboratory optimization of an enzyme	441529662	NATURE COMMUNICATIONS	Tokuriki, Nobuhiko	yes	2012	WOS:000344010400020	
Single-locus heterotic effects and dominance by dominance interactions can adequately explain the genetic basis of heterosis in an elite rice hybrid	35541034	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Hua, JP	yes	2003	WOS:000344010400020	
Capturing heterosis in forage crop cultivar development	8570689	CROP SCIENCE	Brummer, EC	yes	1999	WOS:000344010400020	
Interacting duplications, fluctuating selection, and convergence: the complex dynamics of flowering time evolution during sunflower domestication	443011278	JOURNAL OF EXPERIMENTAL BOTANY	Blackman, Benjamin K.	yes	2013	WOS:000344010400020	
PERFORMANCE AND INBREEDING DEPRESSION BETWEEN A SYNTHETIC AND 3 IMPROVED POPULATIONS OF MAIZE	57478131	CROP SCIENCE	WALTERS, SP	yes	1991	WOS:000344010400020	
Do population size bottlenecks reduce evolutionary potential?	15663162	ANIMAL CONSERVATION	Frankham, Richard	yes	1999	WOS:000344010400020	
Ploidy and the Causes of Genomic Evolution	268507938	JOURNAL OF HEREDITY	Gerstein, Aleeza C.	yes	2009	WOS:000344010400020	
NONE	453764523	Principles of cultivar development, vol. I, Theory and technique	FEHR, W.	no	1991	WOS:000344010400020	
Cereal breeding takes a walk on the wild side	84485876	TRENDS IN GENETICS	Feuillet, Catherine	yes	2008	WOS:000344010400020	
Flowering Time in Maize: Linkage and Epistasis at a Major Effect Locus	430408519	GENETICS	Durand, Eleonore	yes	2012	WOS:000344010400020	
How epigenetic mutations can affect genetic evolution: Model and mechanism	451179241	BIOESSAYS	Klironomos, Filippos D.	yes	2013	WOS:000344010400020	
Genes Confer Similar Robustness to Environmental, Stochastic, and Genetic Perturbations in Yeast	289239363	PLOS ONE	Lehner, Ben	yes	2010	WOS:000344010400020	
The costs of reproduction in plants	632325	NEW PHYTOLOGIST	Obeso, JR	yes	2002	WOS:000344010400020	
TEOSINTE BRANCHED1 AND THE ORIGIN OF MAIZE - EVIDENCE FOR EPISTASIS AND THE EVOLUTION OF DOMINANCE	2721317	GENETICS	DOEBLEY, J	yes	1995	WOS:000344010400020	
Heterosis in elite hybrid rice: speculation on the genetic and biochemical mechanisms	452041368	CURRENT OPINION IN PLANT BIOLOGY	Goff, Stephen A.	yes	2013	WOS:000344010400020	
Genomic and metabolic prediction of complex heterotic traits in hybrid maize	427703690	NATURE GENETICS	Riedelsheimer, Christian	yes	2012	WOS:000344010400020	
ON THE EFFECT OF FOUNDER EVENTS ON EPISTATIC GENETIC VARIANCE	653273	EVOLUTION	GOODNIGHT, CJ	yes	1987	WOS:000344010400020	
The Genetic Architecture Of Maize Height	468859263	GENETICS	Peiffer, Jason A.	yes	2014	WOS:000344010400020	
Is Genetic Evolution Predictable?	261019335	SCIENCE	Stern, David L.	yes	2009	WOS:000344010400020	
Increased Food and Ecosystem Security via Perennial Grains	318480381	SCIENCE	Glover, J. D.	yes	2010	WOS:000344010400020	
EVOLUTIONARY CONSTRAINT AND ECOLOGICAL CONSEQUENCES	324576007	EVOLUTION	Futuyma, Douglas J.	yes	2010	WOS:000344010400020	
Genetic basis of the evolution of adaptedness in plants	22041650	Adaptation in plant breeding	ALLARD, R. W.	no	1997	WOS:000344010400020	
Differential androgen receptor expression and DNA methylation state in striatum song nucleus Area X between wild and domesticated songbird strains	455860964	EUROPEAN JOURNAL OF NEUROSCIENCE	Wada, Kazuhiro	yes	2013	WOS:000344010400020	
Impact of epistasis and pleiotropy on evolutionary adaptation	425895250	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Ostman, Bjorn	yes	2012	WOS:000344010400020	
Comparative population genomics of maize domestication and improvement	433625265	NATURE GENETICS	Hufford, Matthew B.	yes	2012	WOS:000344010400020	
Quantitative trait loci analyses of the domestication syndrome and domestication process	60991061	Encyclopedia of Plant and Crop Science	Poncet, V	no	2004	WOS:000344010400020	
Prospects for developing perennial-grain crops	67768003	BIOSCIENCE	Cox, Thomas S.	yes	2006	WOS:000344010400020	
Response to a population bottleneck can be used to infer recessive selection	478376473	arXiv:1312. 3028	BALICK, D.	no	2013	WOS:000344010400020	
DEVELOPMENTAL PLASTICITY, GENETIC ASSIMILATION, AND THE EVOLUTIONARY DIVERSIFICATION OF SEXUAL EXPRESSION IN SOLANUM	452047436	AMERICAN JOURNAL OF BOTANY	Diggle, Pamela K.	yes	2013	WOS:000344010400020	
